"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\admin.css", "CSS", 0, 9, 3, 2, 14
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\admin.js", "JavaScript", 718, 0, 2, 34, 754
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\customer.js", "JavaScript", 416, 0, 5, 18, 439
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\main.css", "CSS", 0, 21, 0, 5, 26
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\main.js", "JavaScript", 315, 0, 6, 20, 341
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\orderInfo.css", "CSS", 0, 53, 0, 11, 64
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\orderInfo.js", "JavaScript", 84, 0, 0, 7, 91
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\restaurant.css", "CSS", 0, 109, 0, 2, 111
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\restaurant.js", "JavaScript", 383, 0, 4, 26, 413
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\search_bar.js", "JavaScript", 60, 0, 0, 5, 65
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\user_restaurant.js", "JavaScript", 862, 0, 32, 42, 936
"Total", "-", 2838, 192, 52, 172, 3254
