"filename", "language", "Markdown", "JavaScript", "JSON", "CSS", "HTML", "comment", "blank", "total"
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 6, 16
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\README.md", "Markdown", 497, 0, 0, 0, 0, 0, 295, 792
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\admin.js", "JavaScript", 0, 33, 0, 0, 0, 8, 9, 50
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\customer.js", "JavaScript", 0, 303, 0, 0, 0, 81, 64, 448
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\email.js", "JavaScript", 0, 196, 0, 0, 0, 26, 34, 256
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\notification.js", "JavaScript", 0, 85, 0, 0, 0, 2, 4, 91
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\order.js", "JavaScript", 0, 166, 0, 0, 0, 19, 21, 206
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\restaurant.js", "JavaScript", 0, 354, 0, 0, 0, 56, 68, 478
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\socketIO.js", "JavaScript", 0, 105, 0, 0, 0, 15, 13, 133
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\token.js", "JavaScript", 0, 43, 0, 0, 0, 21, 7, 71
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\index.js", "JavaScript", 0, 27, 0, 0, 0, 2, 9, 38
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\models\customer.js", "JavaScript", 0, 52, 0, 0, 0, 6, 8, 66
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\models\food_item.js", "JavaScript", 0, 10, 0, 0, 0, 2, 3, 15
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\models\notification.js", "JavaScript", 0, 14, 0, 0, 0, 2, 3, 19
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\models\order.js", "JavaScript", 0, 26, 0, 0, 0, 3, 5, 34
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\models\otp.js", "JavaScript", 0, 32, 0, 0, 0, 4, 6, 42
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\models\restaurant.js", "JavaScript", 0, 53, 0, 0, 0, 6, 8, 67
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\package-lock.json", "JSON", 0, 0, 5847, 0, 0, 0, 1, 5848
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\package.json", "JSON", 0, 0, 22, 0, 0, 0, 1, 23
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\routers\admin.js", "JavaScript", 0, 45, 0, 0, 0, 15, 7, 67
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\routers\customer.js", "JavaScript", 0, 32, 0, 0, 0, 11, 4, 47
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\routers\notification.js", "JavaScript", 0, 14, 0, 0, 0, 7, 2, 23
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\routers\order.js", "JavaScript", 0, 15, 0, 0, 0, 0, 4, 19
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\routers\restaurant.js", "JavaScript", 0, 39, 0, 0, 0, 11, 4, 54
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 33, 71
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\package-lock.json", "JSON", 0, 0, 29967, 0, 0, 0, 1, 29968
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\package.json", "JSON", 0, 0, 58, 0, 0, 0, 1, 59
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\public\index.html", "HTML", 0, 0, 0, 0, 24, 23, 1, 48
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\App.css", "CSS", 0, 0, 0, 102, 0, 0, 17, 119
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\App.js", "JavaScript", 0, 220, 0, 0, 0, 3, 8, 231
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\HeaderBar.css", "CSS", 0, 0, 0, 54, 0, 0, 10, 64
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\HeaderBar.js", "JavaScript", 0, 287, 0, 0, 0, 73, 24, 384
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\index.css", "CSS", 0, 0, 0, 13, 0, 0, 2, 15
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\index.js", "JavaScript", 0, 13, 0, 0, 0, 3, 3, 19
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\login\login.css", "CSS", 0, 0, 0, 26, 0, 0, 6, 32
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\login\login.js", "JavaScript", 0, 174, 0, 0, 0, 6, 14, 194
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\login\signup.css", "CSS", 0, 0, 0, 30, 0, 0, 7, 37
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\login\signup.js", "JavaScript", 0, 286, 0, 0, 0, 6, 21, 313
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\login\verification.css", "CSS", 0, 0, 0, 26, 0, 0, 6, 32
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\login\verification.js", "JavaScript", 0, 159, 0, 0, 0, 0, 17, 176
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 4, 1, 6
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\package-lock.json", "JSON", 0, 0, 57, 0, 0, 0, 1, 58
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\package.json", "JSON", 0, 0, 18, 0, 0, 0, 1, 19
"Total", "-", 545, 2803, 35994, 251, 24, 415, 765, 40797
