"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 6, 16
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\README.md", "Markdown", 0, 498, 0, 0, 0, 0, 295, 793
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\admin.js", "JavaScript", 0, 0, 26, 0, 0, 28, 8, 62
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\customer.js", "JavaScript", 0, 0, 262, 0, 0, 92, 55, 409
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\email.js", "JavaScript", 0, 0, 181, 0, 0, 50, 30, 261
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\notification.js", "JavaScript", 0, 0, 76, 0, 0, 43, 4, 123
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\order.js", "JavaScript", 0, 0, 143, 0, 0, 53, 19, 215
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\restaurant.js", "JavaScript", 0, 0, 307, 0, 0, 85, 60, 452
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\socketIO.js", "JavaScript", 0, 0, 87, 0, 0, 36, 13, 136
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\controllers\token.js", "JavaScript", 0, 0, 40, 0, 0, 30, 8, 78
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\index.js", "JavaScript", 0, 0, 27, 0, 0, 26, 10, 63
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\models\customer.js", "JavaScript", 0, 0, 48, 0, 0, 27, 11, 86
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\models\food_item.js", "JavaScript", 0, 0, 10, 0, 0, 17, 4, 31
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\models\notification.js", "JavaScript", 0, 0, 14, 0, 0, 17, 4, 35
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\models\order.js", "JavaScript", 0, 0, 26, 0, 0, 18, 5, 49
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\models\otp.js", "JavaScript", 0, 0, 30, 0, 0, 18, 7, 55
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\models\restaurant.js", "JavaScript", 0, 0, 49, 0, 0, 26, 8, 83
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\package-lock.json", "JSON", 5847, 0, 0, 0, 0, 0, 1, 5848
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\package.json", "JSON", 22, 0, 0, 0, 0, 0, 1, 23
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\routers\admin.js", "JavaScript", 0, 0, 30, 0, 0, 29, 8, 67
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\routers\customer.js", "JavaScript", 0, 0, 32, 0, 0, 33, 9, 74
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\backend\routers\notification.js", "JavaScript", 0, 0, 14, 0, 0, 27, 3, 44
